ID,Name,Status,Object Type,Category,Description,Enrolled Total,Created In,Created Date,Created By
HS-WF-001,Unnamed workflow - 2026-03-24 01:53:19 GMT+0000,Off,Contact,Test/Unused,,"1,346",Workflows tool,24 March 2026,
HS-WF-002,[Hubs] Set Broker as Contact Owner (or set default owner),On,Contact,Broker Assignment,"Updates contact owner based on the adviser contact value, setting a specific broker or a default owner if no owner is assigned.","39,314",Workflows tool,24 March 2026,
HS-WF-003,[Hubs] MANUAL Set Broker as Contact Owner (or set default owner),On,Contact,Broker Assignment,"Sets the contact owner based on the adviser contact value and updates related Monday Broker Adviser Contact properties, then triggers webhooks for each branch.","221,552",Workflows tool,24 March 2026,
HS-WF-004,[Deal] Update deal owner,On,Deal,Deal Management,Updates the deal owner property based on associated contact ownership when deal status changes within the last day.,"103,689",Workflows tool,24 March 2026,
HS-WF-005,((((NEW LEAD)))) MANUAL Process (unqualified leads) - NATHAN,On,Contact,Lead Processing,"Sends a series of timed SMS and email messages to unqualified leads, assigns lead ownership, and triggers notifications within specified business hours.","5,470",Workflows tool,2 March 2026,
HS-WF-006,((((NEW LEAD)))) MANUAL Process (unqualified leads) - JAYDEN,On,Contact,Lead Processing,"Assigns a contact owner, sends multiple timed emails and SMS messages, adds leads to a list, triggers webhooks, and notifies users for manually enrolled unqualified leads.","5,390",Workflows tool,2 March 2026,
HS-WF-007,SMS TEST,On,Contact,Test/Unused,Sends an internal marketing email to contacts manually enrolled in the workflow.,224,Workflows tool,21 January 2026,
HS-WF-008,[Website Trigger] HG New Lead SMS from website,On,Contact,Lead Processing,"Sends internal alerts and assigns contact owners for new leads from website forms, filtering by unsubscribe status and weekend submissions before adding them to a list.","18,645",Workflows tool,28 November 2025,
HS-WF-009,Quick Chat: Meeting Booking with Broker During Lead Process,Off,Contact,Other,Based on a client booking quick chat in meeting process.,138,Workflows tool,17 November 2025,
HS-WF-010,[Mercury Trigger] 3.0 Pre Approved Workflow 2 of 2 - Blueprint,On,Contact,Mercury/CRM Trigger,Switched to blueprint content. Added Trycall + webhook to Zapier.,"2,303",Workflows tool,11 September 2025,
HS-WF-011,((((NEW LEAD)))) MANUAL Process (unqualified leads) - TY,On,Contact,Lead Processing,"Assigns a contact owner, sends multiple timed emails and SMS messages, adds leads to a list, triggers webhooks, and notifies users.",272,Workflows tool,14 July 2025,
HS-WF-012,Manual Webhook Test,On,Contact,Integration/Webhook,Sends a POST request to a webhook URL when manually triggered.,8,Workflows tool,19 September 2024,Jayden Vecchio
HS-WF-013,00 4.2 Loan Approved - Broker SMS,On,Contact,Broker Notifications,Sends an internal SMS email to brokers 121 minutes after a loan is approved with status 4.2 Loan Approved.,"2,425",Workflows tool,28 August 2024,Jayden Vecchio
HS-WF-014,00 6.0 Settlement Booked - Broker SMS,On,Contact,Broker Assignment,Sends a broker SMS about settlement 121 minutes after a loan status changes to 6.0 Settlement Booked.,,Workflows tool,27 August 2024,Jayden Vecchio
HS-WF-015,Kane Facebook Brokergrow Leads,On,Contact,Other,Flag for Facebook leads.,38,Workflows tool,30 July 2024,Jayden Vecchio
HS-WF-016,Process.st updating contact making an offer and plan for auction property,On,Deal,Integration/Webhook,Process.st updating contact making an offer and plan for auction property.,"5,479",Workflows tool,11 June 2024,Jayden Vecchio
HS-WF-017,breaking template to work out how to fix it,Off,Contact,Unsubscribe/Marketing Status,"Updates contact owner and branch based on the day they were added, assigns lead source, manages unsubscribed contacts.",,Workflows tool,29 May 2024,Jayden Vecchio
HS-WF-018,Unnamed workflow - 2024-05-28 22:20:43 GMT+0000,Off,Contact,Test/Unused,Enables manual enrollment without any automated actions.,,Workflows tool,29 May 2024,Jayden Vecchio
HS-WF-019,02-LEAD-WORKFLOW On Form Submission Home Buying Plan - Form Submit > Mercury (4.0 Free Assessment),On,Contact,Lead Processing,"Sends notifications and emails based on home buying plan form submissions, branching by contract status and deposit size, and updates contact marketing status.","8,935",Workflows tool,14 May 2024,Jayden Vecchio
HS-WF-020,"[Person for Mercury] 4.1 Approval, Pre + Settlement - Ask for Review",On,Contact,Other,Sends an internal marketing email to contacts manually enrolled in the workflow.,,Workflows tool,13 May 2024,Jayden Vecchio
HS-WF-021,Unnamed workflow - 2024-02-19 22:06:19 GMT+0000,Off,Contact,Test/Unused,Sends an internal marketing email when manually triggered.,1,Workflows tool,20 February 2024,Jayden Vecchio
HS-WF-022,[Mercury Trigger] 2.1 Pre Approved - SATURDAY emails,On,Contact,Mercury/CRM Trigger,"Sends two Saturday emails to contacts with Pre Approved deal status updated after Feb 1, 2023.","2,782",Workflows tool,18 December 2023,Jayden Vecchio
HS-WF-023,Property Investors Workflow,On,Contact,Other,Looking to warm up leads.,111,Workflows tool,30 May 2023,Simon Heikkila
HS-WF-024,6.1.5 SETT (Reprice Trigger) | Josh | 12/05/2023,Off,Contact,Other,"Sends emails, updates contact properties, and manages marketing status for contacts in a specific list.",,Workflows tool,12 May 2023,Jayden Vecchio
HS-WF-025,ZAPIER > FileInvite Manual Webhook,On,Contact,Integration/Webhook,Sends a manual webhook POST request to a Zapier URL when triggered.,23,Workflows tool,17 April 2023,Jayden Vecchio
HS-WF-026,WEBINAR: Q&A [Week 2] Weekly webinar Trycall + Email,On,Contact,Webinar/Events,"Sends a reminder email about the Week 2 webinar, waits, sends a follow-up email, then triggers a webhook.",115,Workflows tool,3 April 2023,Jayden Vecchio
HS-WF-027,((((NEW LEAD)))) MANUAL Process (unqualified leads) - CHRISTIAN,On,Contact,Lead Processing,"Sends a series of emails and SMS messages to new leads, assigns the contact owner, and adds them to a list.","3,515",Workflows tool,3 April 2023,Jayden Vecchio
HS-WF-028,[Mercury Trigger] Future Opportunity Ver 2.0 (<6mth) - Email Workflow (cloned),On,Contact,Mercury/CRM Trigger,Sends a series of timed marketing emails to contacts with loan status Future Opportunity (<6mth) or Future Opportunity (Post Mock).,"4,357",Workflows tool,3 April 2023,Jayden Vecchio
HS-WF-029,[Mercury Trigger] Future Opportunity (6-12mth) ver2.0 - Email Workflow (cloned),On,Contact,Mercury/CRM Trigger,Sends a series of marketing emails with subscription checks to contacts with loan status Future Opportunity (6-12 months).,517,Workflows tool,3 April 2023,Jayden Vecchio
HS-WF-030,WEBINAR: Q&A Weekly webinar calendar invite for zoom (FIF),On,Contact,Webinar/Events,"Sends a daily 6 PM reminder, triggers a webhook, then adds contacts from a specific list to another list.",25,Workflows tool,28 March 2023,Jayden Vecchio
HS-WF-031,Q&A Reminder Email,Off,Contact,Webinar/Events,Sends a webhook reminder every Tuesday at 6:45 PM to contacts in a specific list.,8,Workflows tool,28 March 2023,Simon Heikkila
HS-WF-032,WEBINAR: Q&A Weekly webinar calendar invite for zoom,On,Contact,Webinar/Events,"Sends SMS and email reminders confirming calendar invites, adds contacts to a list, and triggers a webhook.",117,Workflows tool,27 March 2023,Jayden Vecchio
HS-WF-033,FIF: Q&A: Enrol to Q&A Subscribers,On,Contact,Webinar/Events,Enrols contacts who clicked a specific CTA into a subscription list after a 1-minute delay.,14,Workflows tool,21 March 2023,Simon Heikkila
HS-WF-034,DATA CLEAN: Update Banks in Deals - Bank Name / Lender Name (Restored on 22/7/2022),Off,Contact,Deal Management,"Updates bank and lender names in deals based on known lender values, standardizing bank name variants.",,Workflows tool,22 July 2022,Jayden Vecchio
HS-WF-035,Unnamed workflow - Fri Jul 22 2022 14:35:38 GMT+1000,Off,Deal,Test/Unused,Triggers when a deal status is set to 6.1.5 SETT (Reprice Trigger) but contains no actions.,,Workflows tool,22 July 2022,Jayden Vecchio
HS-WF-036,DATA CLEAN: Correct bank short names for SMS,On,Deal,Data Cleanup,Updates the Bank property to standardized names based on various short name inputs for deals updated within the last 5 days.,"71,429",Workflows tool,22 July 2022,Jayden Vecchio
HS-WF-037,CORRECTED - DATA CLEAN: Update Banks in Deals - Bank Name / Lender Name,Off,Deal,Deal Management,Updates deals in specific stages by filtering those with bank names matching st george bank or sgb.,,Workflows tool,22 July 2022,Jayden Vecchio
HS-WF-038,[Hubs] New Lead > Set [Broker] Adviser Contact to Contact Owner,On,Contact,Lead Processing,Sets the Adviser Contact and Monday Broker Adviser Contact properties based on the Contact owner email when a new lead is enrolled.,"18,246",Workflows tool,19 July 2022,Jayden Vecchio
HS-WF-039,Remove contact from pre approval email if P2F,On,Contact,Other,Adds contacts associated with deals in the Pre-To-Full stage to a specific static list.,"2,951",Workflows tool,9 June 2022,Jayden Vecchio
HS-WF-040,Send a follow-up email after form submission (New eBook),On,Contact,Lead Processing,Sends a follow-up email to contacts after they submit the New eBook download form.,,Forms,11 May 2022,
HS-WF-041,Send a follow-up email after form submission (pop-up),Off,Contact,Lead Processing,Sends a follow-up email to contacts after they submit a specific form.,,Pop-up forms,11 May 2022,
HS-WF-042,TEST TEXT Workflow,Off,Contact,Test/Unused,Sends an internal marketing email to contacts in a specific list on weekdays at 5:00-5:30 PM.,,Workflows tool,21 April 2022,
HS-WF-043,Unnamed workflow - Wed Feb 16 2022 09:25:19 GMT+1000,Off,Deal,Test/Unused,Triggers when the transaction type is unknown but contains no actions.,,Workflows tool,16 February 2022,Jayden Vecchio
HS-WF-044,NPS Trigger: 2.0 Post information session,Off,Deal,Customer Experience,Sets Attended Information Session to Yes for deals recently moved to 2.0 Info Session Booked.,"3,426",Workflows tool,26 January 2022,Jayden Vecchio
HS-WF-045,[Website Trigger] HG: How to Buy a House PDF Download (optin monster),On,Contact,Lead Processing,"Sends a guide email and internal notifications when someone submits the How to buy a house form, updates contact properties.",42,Workflows tool,30 August 2021,Simon Heikkila
HS-WF-046,Unsubscribe from all and make non marketing contact,On,Contact,Unsubscribe/Marketing Status,Updates contacts in a specific list to unsubscribe them from all marketing and set their status to non-marketing contacts.,"10,486",Workflows tool,30 August 2021,Jayden Vecchio
HS-WF-047,Connective Mercury Emails > Make non marketing contacts,On,Contact,Unsubscribe/Marketing Status,Updates contacts with connective in their email to non-marketing status.,"10,098",Workflows tool,30 August 2021,Jayden Vecchio
HS-WF-048,UNSUBSCRIBE > ON OFF (cloned),Off,Contact,Unsubscribe/Marketing Status,Updates contacts with loan status Not Proceeding (No Further Contact) to marketing status.,510,Workflows tool,30 August 2021,Jayden Vecchio
HS-WF-049,UNSUBSCRIBE > ON OFF,Off,Contact,Unsubscribe/Marketing Status,Updates contacts with loan status Not Proceeding (No Further Contact) to marketable until renewal.,,Workflows tool,30 August 2021,Jayden Vecchio
HS-WF-050,UNSUBSCRIBE > Opt Out if Not Proceed (No Further Contact) in Mercury,On,Contact,Unsubscribe/Marketing Status,Updates multiple subscription statuses to opt out and removes contacts from marketing lists when loan status is Not Proceeding.,"2,508",Workflows tool,30 August 2021,Jayden Vecchio
HS-WF-051,[Website Trigger] HG: FIRST HOME BUYER TOOLS PDF Download (optin monster),On,Contact,Lead Processing,Sends emails and updates contact properties when someone submits the First Home Buyer Tools form.,"1,131",Workflows tool,25 August 2021,Simon Heikkila
HS-WF-052,[deal] Not Proceeding No Contact,On,Deal,Deal Management,Updates deal stages to No Further contact or Deal Declined after a 3-minute delay when deal status contains Not Proceeding.,"9,557",Workflows tool,21 July 2021,Jayden Vecchio
HS-WF-053,Dean unsub all people,On,Contact,Unsubscribe/Marketing Status,Adds contacts from a specific list to another static list.,822,Workflows tool,16 July 2021,Jayden Vecchio
HS-WF-054,Unsubscribed from All [Remove SMS Phone Number],Off,Contact,Unsubscribe/Marketing Status,Sets the SMS Email Address to removed for contacts who are in the specified list.,,Workflows tool,12 July 2021,Jayden Vecchio
